bitstring,count
110000000110,6898.0
110000001001,283.0
110000001011,288.0
110000001100,6997.0
110000001110,6921.0
110000010101,11.0
110000010111,13.0
110000011101,11.0
110000011111,8.0
110000100001,254.0
110000100011,302.0
110000100100,6918.0
110000100110,7072.0
110000101001,306.0
110000101011,284.0
110000101100,6857.0
110000101110,7050.0
110000110101,12.0
110000110111,9.0
110000111101,16.0
110000111111,8.0
110001000000,262.0
110001000010,289.0
110001001000,291.0
110001001010,291.0
110001010001,313.0
110001010011,295.0
110001010100,6885.0
110001010110,6955.0
110001011001,340.0
110001011011,315.0
110001011100,6986.0
110001011110,6766.0
110001100000,285.0
110001100010,263.0
110001101000,340.0
110001101010,285.0
110001110001,291.0
110001110011,297.0
110001110100,6952.0
110001110110,7161.0
110001111001,318.0
110001111011,291.0
110001111100,6977.0
110001111110,6936.0
110010000001,273.0
110010000011,337.0
110010000100,6884.0
110010000110,6954.0
110010001001,278.0
110010001011,273.0
110010001100,6833.0
110010001110,7066.0
110010010101,5.0
110010010111,10.0
110010011101,8.0
110010011111,10.0
110010100001,270.0
110010100011,301.0
110010100100,6904.0
110010100110,6959.0
110010101001,296.0
110010101011,317.0
110010101100,7042.0
110010101110,7061.0
110010110101,7.0
110010110111,13.0
110010111101,16.0
110010111111,12.0
110011000000,278.0
110011000010,285.0
110011001000,298.0
110011001010,257.0
110011010001,308.0
110011010011,326.0
110011010100,6922.0
110011010110,6887.0
110011011001,340.0
110011011011,292.0
110011011100,7085.0
110011011110,7129.0
110011100000,273.0
110011100010,299.0
110011101000,306.0
110011101010,268.0
110011110001,300.0
110011110011,321.0
110011110100,6990.0
110011110110,7015.0
110011111001,297.0
110011111011,305.0
110011111100,7035.0
110011111110,7010.0
110100001000,1.0
110100011110,1.0
110100100000,1.0
110100100010,1.0
110100101010,1.0
110101000001,8.0
110101000011,12.0
110101000100,321.0
110101000110,280.0
110101001001,13.0
110101001011,8.0
110101001100,284.0
110101001110,287.0
110101010000,1.0
110101010010,1.0
110101011010,1.0
110101011101,1.0
110101011111,1.0
110101100001,24.0
110101100011,11.0
110101100100,270.0
110101100110,307.0
110101101001,15.0
110101101011,13.0
110101101100,306.0
110101101110,270.0
110101110010,1.0
110101110111,1.0
110101111000,1.0
110101111010,1.0
110101111101,1.0
110101111111,1.0
110110000000,2.0
110110000010,1.0
110110100000,1.0
110110100010,2.0
110111000001,13.0
110111000011,10.0
110111000100,281.0
110111000110,301.0
110111001001,11.0
110111001011,10.0
110111001100,285.0
110111001110,285.0
110111010000,1.0
110111010101,1.0
110111011101,1.0
110111100001,12.0
110111100011,12.0
110111100100,294.0
110111100110,254.0
